epoch,accuracy,learning_rate,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.2622533440589905,0.0010000000474974513,2.0891611576080322,0.611075758934021,0.29841896891593933,2.093104600906372,0.6413043737411499
1,0.2654360234737396,0.0010000000474974513,1.9908901453018188,0.654784619808197,0.28853756189346313,4.565308570861816,0.6403161883354187
2,0.25376617908477783,0.0010000000474974513,1.9772077798843384,0.6471461653709412,0.16996046900749207,2.0045013427734375,0.5701581239700317
3,0.2599193751811981,0.0010000000474974513,1.8906434774398804,0.6626352667808533,0.3478260934352875,1.7973655462265015,0.7144268751144409
4,0.27413538098335266,0.0010000000474974513,1.7924107313156128,0.6791852116584778,0.11363636702299118,2.2932393550872803,0.5286561250686646
5,0.28516867756843567,0.0010000000474974513,1.7617579698562622,0.6934012174606323,0.17391304671764374,1.993849754333496,0.5474308133125305
6,0.31869298219680786,0.0010000000474974513,1.6221883296966553,0.7438998222351074,0.1254940778017044,3.9234917163848877,0.40316206216812134
7,0.3159346580505371,0.0010000000474974513,1.586317539215088,0.7570549249649048,0.2025691717863083,2.049014091491699,0.6857707500457764
8,0.35200509428977966,0.0005000000237487257,1.4907292127609253,0.7791215777397156,0.373517781496048,1.8695449829101562,0.7559288740158081
9,0.36473584175109863,0.0005000000237487257,1.4421305656433105,0.7935497760772705,0.31521740555763245,1.63884699344635,0.7776679992675781
10,0.377890944480896,0.0005000000237487257,1.4066965579986572,0.8003394603729248,0.2875494062900543,1.9559534788131714,0.6314229369163513
11,0.38022491335868835,0.0005000000237487257,1.4095979928970337,0.8086144924163818,0.3695652186870575,1.5441796779632568,0.8063241243362427
12,0.37555697560310364,0.0005000000237487257,1.3975920677185059,0.8060683012008667,0.373517781496048,1.6130483150482178,0.8221343755722046
13,0.39083385467529297,0.0005000000237487257,1.3443806171417236,0.809675395488739,0.30039525032043457,1.9122048616409302,0.7539525628089905
14,0.39847230911254883,0.0005000000237487257,1.3479162454605103,0.8149798512458801,0.34683793783187866,1.614203929901123,0.7875494360923767
15,0.40356460213661194,0.0005000000237487257,1.3300952911376953,0.8171016573905945,0.43478259444236755,1.407666802406311,0.8498023748397827
16,0.4101421535015106,0.0005000000237487257,1.3002381324768066,0.8289836645126343,0.373517781496048,1.6593801975250244,0.7598814368247986
17,0.41290047764778137,0.0005000000237487257,1.3045352697372437,0.8289836645126343,0.3023715317249298,1.7900171279907227,0.7450593113899231
18,0.4169318974018097,0.0005000000237487257,1.2733676433563232,0.8308932781219482,0.4644268751144409,1.4527183771133423,0.8003952503204346
19,0.43051135540008545,0.0005000000237487257,1.2688870429992676,0.8387439250946045,0.27272728085517883,1.8492588996887207,0.7183794379234314
20,0.4394228756427765,0.0002500000118743628,1.2056632041931152,0.8425631523132324,0.4693675935268402,1.4249919652938843,0.8162055611610413
21,0.45363888144493103,0.0002500000118743628,1.1742756366729736,0.855293869972229,0.489130437374115,1.3440430164337158,0.8409090638160706
22,0.45915552973747253,0.0002500000118743628,1.1637632846832275,0.8614470362663269,0.45553359389305115,1.3441540002822876,0.8448616862297058
23,0.45788246393203735,0.0002500000118743628,1.1621410846710205,0.8620836138725281,0.4535573124885559,1.379397988319397,0.8527668118476868
24,0.47506895661354065,0.0002500000118743628,1.1184070110321045,0.8697220683097839,0.45059287548065186,1.3303351402282715,0.8596838116645813
25,0.46849140524864197,0.0002500000118743628,1.1320759057998657,0.8743900060653687,0.4693675935268402,1.337729811668396,0.8685770630836487
26,0.46424782276153564,0.0002500000118743628,1.139669418334961,0.8637810349464417,0.4071146249771118,1.4702893495559692,0.8409090638160706
27,0.47973689436912537,0.0002500000118743628,1.0773069858551025,0.8849989175796509,0.46146243810653687,1.365142822265625,0.8675889372825623
28,0.47018882632255554,0.0002500000118743628,1.1209675073623657,0.877360463142395,0.45158103108406067,1.341212511062622,0.8952569365501404
29,0.4935285449028015,0.0001250000059371814,1.0508277416229248,0.89178866147995,0.4990118443965912,1.2690820693969727,0.8932806253433228
30,0.5041375160217285,0.0001250000059371814,1.0421684980392456,0.8896668553352356,0.4466403126716614,1.4212334156036377,0.8626482486724854
31,0.511563777923584,0.0001250000059371814,1.0326650142669678,0.8994271159172058,0.4960474371910095,1.2986302375793457,0.8863636255264282
32,0.513473391532898,0.0001250000059371814,1.013532280921936,0.8962444067001343,0.44960474967956543,1.3890023231506348,0.8527668118476868
33,0.5179291367530823,0.0001250000059371814,1.0021628141403198,0.9040950536727905,0.4901185631752014,1.240816593170166,0.8883399367332458
34,0.5295990109443665,0.0001250000059371814,0.9916234016418457,0.9013367295265198,0.49703556299209595,1.325858235359192,0.8833991885185242
35,0.5262041091918945,0.0001250000059371814,0.994257390499115,0.9055802822113037,0.45652174949645996,1.3540737628936768,0.8606719374656677
36,0.5175047516822815,0.0001250000059371814,0.9873202443122864,0.9043072462081909,0.4950592815876007,1.249744176864624,0.8824110627174377
37,0.5340547561645508,0.0001250000059371814,0.9705272912979126,0.911521315574646,0.5088932514190674,1.2640708684921265,0.8922924995422363
38,0.5478463768959045,6.25000029685907e-05,0.9302067756652832,0.9132187366485596,0.4466403126716614,1.3175632953643799,0.8596838116645813
39,0.5469976663589478,6.25000029685907e-05,0.939333975315094,0.9127944111824036,0.47727271914482117,1.286945104598999,0.8774703741073608
